日期,时间,高,低,价格,开,成交量,成交额,成交笔数
2019/10/31,2019/10/31 10:30,3.58,3.53,3.56,3.58,210518202,750904113,41102
2019/10/31,2019/10/31 11:30,3.57,3.54,3.55,3.56,49923369,177910174,11877
2019/10/31,2019/10/31 14:00,3.56,3.54,3.54,3.56,49221547,175186571,15125
2019/10/31,2019/10/31 15:00,3.57,3.54,3.56,3.54,70617717,251604610,15231
2019/11/01,2019/11/01 10:30,3.57,3.53,3.57,3.55,61382511,218445662,13174
2019/11/01,2019/11/01 11:30,3.59,3.56,3.58,3.56,59969490,215150102,9215
2019/11/01,2019/11/01 14:00,3.59,3.58,3.59,3.58,40233023,144870789,8690
2019/11/01,2019/11/01 15:00,3.59,3.57,3.58,3.58,42207577,151649605,9454
2019/11/04,2019/11/04 10:30,3.62,3.58,3.60,3.58,99079597,357719396,15092
2019/11/04,2019/11/04 11:30,3.61,3.59,3.60,3.60,34753411,125870805,5837
2019/11/04,2019/11/04 14:00,3.61,3.58,3.58,3.61,34079224,122992214,6944
2019/11/04,2019/11/04 15:00,3.59,3.58,3.58,3.58,42426074,152731862,9718
2019/11/05,2019/11/05 10:30,3.59,3.55,3.56,3.58,75324030,269661564,13354
2019/11/05,2019/11/05 11:30,3.58,3.57,3.58,3.57,49825902,178941583,7556
2019/11/05,2019/11/05 14:00,3.60,3.58,3.58,3.58,56112054,202430020,9785
2019/11/05,2019/11/05 15:00,3.60,3.58,3.59,3.58,60160670,217053336,10195
2019/11/06,2019/11/06 10:30,3.61,3.58,3.59,3.60,72042758,260255590,9620
2019/11/06,2019/11/06 11:30,3.61,3.58,3.61,3.59,75899303,274217922,10607
2019/11/06,2019/11/06 14:00,3.61,3.59,3.60,3.61,29093178,105174017,6320
2019/11/06,2019/11/06 15:00,3.60,3.58,3.58,3.59,42963039,154670769,9253
2019/11/07,2019/11/07 10:30,3.62,3.57,3.61,3.58,106417710,384716462,13238
2019/11/07,2019/11/07 11:30,3.66,3.61,3.62,3.62,159868945,584233096,21662
2019/11/07,2019/11/07 14:00,3.66,3.61,3.66,3.62,113853441,416720694,16277
2019/11/07,2019/11/07 15:00,3.66,3.64,3.66,3.65,86235057,316701687,18559
2019/11/08,2019/11/08 10:30,3.69,3.63,3.64,3.68,108919905,399820102,17633
2019/11/08,2019/11/08 11:30,3.64,3.62,3.64,3.63,52467718,191501558,9224
2019/11/08,2019/11/08 14:00,3.65,3.61,3.63,3.64,48709805,177630140,9062
2019/11/08,2019/11/08 15:00,3.63,3.61,3.61,3.63,57673253,209934879,9637
2019/11/11,2019/11/11 10:30,3.59,3.54,3.56,3.59,146152866,521972505,23438
2019/11/11,2019/11/11 11:30,3.58,3.54,3.56,3.56,51615800,184011073,9672
2019/11/11,2019/11/11 14:00,3.57,3.54,3.55,3.56,36506846,130087428,7434
2019/11/11,2019/11/11 15:00,3.56,3.54,3.55,3.56,59259499,210822905,14850
2019/11/12,2019/11/12 10:30,3.62,3.57,3.59,3.57,169399697,611397846,20892
2019/11/12,2019/11/12 11:30,3.60,3.58,3.58,3.58,54690786,197007517,8316
2019/11/12,2019/11/12 14:00,3.63,3.58,3.61,3.58,101968450,370276976,16362
2019/11/12,2019/11/12 15:00,3.64,3.61,3.64,3.61,122679544,447682630,20013
2019/11/13,2019/11/13 10:30,3.64,3.59,3.61,3.63,103550094,376713292,13282
2019/11/13,2019/11/13 11:30,3.62,3.60,3.62,3.62,33506121,121702056,4972
2019/11/13,2019/11/13 14:00,3.62,3.60,3.61,3.62,42397779,153824826,6433
2019/11/13,2019/11/13 15:00,3.63,3.60,3.62,3.62,55138171,200493979,8150
2019/11/14,2019/11/14 10:30,3.75,3.60,3.71,3.61,392876458,1463148232,58378
2019/11/14,2019/11/14 11:30,3.75,3.71,3.74,3.72,175316745,658135827,28555
2019/11/14,2019/11/14 14:00,3.74,3.71,3.73,3.73,93494660,350395066,17088
2019/11/14,2019/11/14 15:00,3.77,3.73,3.74,3.73,222026568,836659608,36972
2019/11/15,2019/11/15 10:30,3.78,3.70,3.72,3.73,234075807,878710375,28801
2019/11/15,2019/11/15 11:30,3.75,3.71,3.71,3.71,94619680,354967237,10482
2019/11/15,2019/11/15 14:00,3.73,3.69,3.69,3.71,90524668,336921845,14965
2019/11/15,2019/11/15 15:00,3.71,3.66,3.67,3.69,117903583,436867159,18158
2019/11/18,2019/11/18 10:30,3.76,3.67,3.70,3.71,299439878,1121689152,39614
2019/11/18,2019/11/18 11:30,3.73,3.69,3.72,3.70,63700006,237450027,10616
2019/11/18,2019/11/18 14:00,3.72,3.69,3.70,3.72,49750091,185243744,9769
